Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
29.7000	76.4142	64.3499	0.0000	3.8313	2.0000
29.8000	76.4656	64.5763	0.0000	3.8264	2.0000
29.9000	76.5949	64.7318	0.0000	3.8215	2.0000
30.0000	76.7242	64.8872	0.0000	3.8167	2.0000
30.1000	76.8535	65.0427	0.0000	3.8116	2.0000
30.2000	76.9828	65.1981	0.0000	3.8060	2.0000
30.3000	77.1120	65.3536	0.0000	3.8005	2.0000
30.4000	77.2413	65.5091	0.0000	3.7949	2.0000
30.5000	77.3706	65.6645	0.0000	3.7894	2.0000
30.6000	77.4999	65.8200	0.0000	3.7838	2.0000
30.7000	77.7566	65.8788	0.0000	3.7783	2.0000
30.8000	77.8486	65.8617	0.0000	3.7727	2.0000
30.9000	77.9406	65.8447	0.0000	3.7671	2.0000
31.0000	78.0327	65.8276	0.0000	3.7616	2.0000
31.1000	78.1247	65.8105	0.0000	3.7560	2.0000
31.2000	78.2167	65.7934	0.0000	3.7505	2.0000
31.3000	78.3087	65.7763	0.0000	3.7449	2.0000
31.4000	78.4008	65.7592	0.0000	3.7394	2.0000
31.5000	78.4928	65.7421	0.0000	3.7338	2.0000
31.6000	78.5848	65.6792	0.0000	3.7283	2.0000
31.7000	78.6768	65.5832	0.0000	3.7227	2.0000
31.8000	78.7689	65.4872	0.0000	3.7171	2.0000
31.9000	78.8609	65.3912	0.0000	3.7116	2.0000
32.0000	78.9529	65.2952	0.0000	3.7060	2.0000
32.1000	79.0449	65.1992	0.0000	3.7005	2.0000
32.2000	79.1370	65.1032	0.0000	3.6949	2.0000
32.3000	79.2290	65.0072	0.0000	3.6894	2.0000
32.4000	79.3210	64.9303	0.0000	3.6838	2.0000
32.5000	79.4130	65.3119	0.0000	3.6783	2.0000
32.6000	79.5051	65.6934	0.0000	3.6727	2.0000
32.7000	79.5971	66.0749	0.0000	3.6672	2.0000
32.8000	79.6891	66.4565	0.0000	3.6616	2.0000
32.9000	79.7812	66.8380	0.0000	3.6560	2.0000
33.0000	79.8732	67.2195	0.0000	3.6505	2.0000
33.1000	79.9652	67.6011	0.0000	3.6449	2.0000
33.2000	80.0572	67.9826	0.0000	3.6394	2.0000
33.3000	80.1493	68.2627	0.0000	3.6468	2.0000
33.4000	80.2413	68.4631	0.0000	3.6628	2.0000
33.5000	80.3333	68.6634	0.0000	3.6788	2.0000
33.6000	80.4253	68.8638	0.0000	3.6949	2.0000
33.7000	80.5174	69.0641	0.0000	3.7109	2.0000
33.8000	80.6094	69.2645	0.0000	3.7269	2.0000
33.9000	80.7014	69.4648	0.0000	3.7429	2.0000
34.0000	80.7934	69.6652	0.0000	3.7590	2.0000
34.1000	80.8855	69.8655	0.0000	3.7750	2.0000
34.2000	80.9775	70.0053	0.0000	3.7910	2.0000
34.3000	80.9306	69.8688	0.0000	3.8071	2.0000
34.4000	80.8838	69.7323	0.0000	3.8231	2.0000
34.5000	80.8370	69.5959	0.0000	3.8391	2.0000
34.6000	80.7901	69.4594	0.0000	3.8551	2.0000
34.7000	80.7433	69.3230	0.0000	3.8712	2.0000
34.8000	80.6964	69.1865	0.0000	3.8872	2.0000
34.9000	80.6496	69.0500	0.0000	3.9032	2.0000
35.0000	80.6028	68.9136	0.0000	3.9193	2.0000
35.1000	80.5559	68.7771	0.0000	3.9353	2.0000
35.2000	80.4015	68.5733	0.0000	3.9513	2.0000
35.3000	80.2377	68.3636	0.0000	3.9673	2.0000
35.4000	80.0739	68.1540	0.0000	3.9834	2.0000
35.5000	79.9102	67.9443	0.0000	3.9994	2.0000
35.6000	79.7464	67.7346	0.0000	4.0154	2.0000
35.7000	79.5826	67.5250	0.0000	4.0315	2.0000
35.8000	79.4188	67.3153	0.0000	4.0475	2.0000
35.9000	79.2551	67.1056	0.0000	4.0635	2.0000
36.0000	79.0913	66.8960	0.0000	4.0795	2.0000
36.1000	78.9976	66.7630	0.0000	4.0956	2.0000
36.2000	78.9068	66.6333	0.0000	4.1116	2.0000
36.3000	78.8160	66.5036	0.0000	4.1276	2.0000
36.4000	78.7252	66.3739	0.0000	4.1437	2.0000
36.5000	78.6345	66.2442	0.0000	4.1597	2.0000
36.6000	78.5437	66.1145	0.0000	4.1757	2.0000
36.7000	78.4529	65.9848	0.0000	4.1917	2.0000
36.8000	78.3621	65.8551	0.0000	4.2078	2.0000
36.9000	78.4870	65.8896	0.0000	4.2238	2.0000
37.0000	78.7332	66.0165	0.0000	4.2398	2.0000
37.1000	78.9794	66.1434	0.0000	4.2559	2.0000
37.2000	79.2256	66.2703	0.0000	4.2719	2.0000
37.3000	79.4718	66.3972	0.0000	4.2879	2.0000
37.4000	79.7180	66.5241	0.0000	4.2986	2.0000
37.5000	79.9642	66.6510	0.0000	4.3013	2.0000
37.6000	80.2104	66.7780	0.0000	4.3041	2.0000
37.7000	80.4123	66.8906	0.0000	4.3068	2.0000
