Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
39.5000	70.0145	65.9612	61.9600	5.5312	2.0000
39.6000	69.8601	65.7762	61.8046	5.5270	2.0000
39.7000	69.7057	65.5913	61.6492	5.5229	2.0000
39.8000	69.5514	65.4063	61.4938	5.5188	2.0000
39.9000	69.3970	65.2214	61.3383	5.5146	2.0000
40.0000	69.2426	65.0364	61.1829	5.5105	2.0000
40.1000	69.0882	64.8515	61.0275	5.5063	2.0000
40.2000	68.9339	64.6665	60.8721	5.5022	2.0000
40.3000	68.7795	64.4815	60.7167	5.4980	2.0000
40.4000	68.6251	64.2966	60.5613	5.4939	2.0000
40.5000	68.4708	64.1116	60.4059	5.4897	2.0000
40.6000	68.3288	63.9388	60.2755	5.4856	2.0000
40.7000	68.2107	63.7893	60.1936	5.4815	2.0000
40.8000	68.0927	63.6399	60.1117	5.4773	2.0000
40.9000	67.9747	63.4904	60.0298	5.4732	2.0000
41.0000	67.8566	63.3410	59.9479	5.4690	2.0000
41.1000	67.7386	63.1916	59.8660	5.4649	2.0000
41.2000	67.6206	63.0421	59.7841	5.4607	2.0000
41.3000	67.5026	62.8927	59.7022	5.4566	2.0000
41.4000	67.3845	62.7432	59.6203	5.4524	2.0000
41.5000	67.2665	62.5938	59.5384	5.4483	2.0000
41.6000	67.1485	62.4444	59.4565	5.4454	2.0000
41.7000	67.0304	62.2949	59.3746	5.4456	2.0000
41.8000	66.9988	62.3083	59.4452	5.4459	2.0000
41.9000	67.0685	62.5128	59.6947	5.4461	2.0000
42.0000	67.1383	62.7172	59.9442	5.4464	2.0000
42.1000	67.2080	62.9217	60.1937	5.4466	2.0000
42.2000	67.2777	63.1262	60.4431	5.4469	2.0000
42.3000	67.3474	63.3307	60.6926	5.4471	2.0000
42.4000	67.4172	63.5351	60.9421	5.4474	2.0000
42.5000	67.4869	63.7396	61.1916	5.4476	2.0000
42.6000	67.5566	63.9441	61.4411	5.4478	2.0000
42.7000	67.6264	64.1485	61.6906	5.4481	2.0000
42.8000	67.6961	64.3530	61.9401	5.4483	2.0000
42.9000	67.7658	64.5575	62.1896	5.4486	2.0000
43.0000	67.7424	64.6324	62.3337	5.4488	2.0000
43.1000	67.5902	64.5283	62.3325	5.4491	2.0000
43.2000	67.4379	64.4243	62.3313	5.4493	2.0000
